ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
9977,3.60,LONMIN,,,135,W,,,,
9978,7.70,BURSIM,,,135,W,,,,
9979,3.20,LONMIN,,,135,W,,,,
9980,1.20,CAPIND,,,135,W,,,,
9981,2.10,SLOTER,,,135,W,,,,
9982,4.40,,,Calyclamus,135,W,,,,
9983,2.00,SLOTER,,,135,W,,,,
9984,1.30,,9983,,135,W,,,,
9985,1.30,,9983,,135,W,,,,
9986,1.10,MANHYM,,,135,W,,,,
9987,8.20,,,"Trichilia sp, 3-5 pairs of leaflets, more than 30cm",135,W,,,,
9988,7.10,,9987,,135,W,,,,
9989,1.10,MANHYM,,,135,W,,,,
9990,6.90,,,Same as 9987,135,W,,,,
9991,5.10,FORSPI,,,135,W,,,,
9992,2.60,ASTGRA,,,135,W,,,,
9993,4.00,OCOVER,,,135,W,,,,
9994,3.90,CALCAN,,,135,W,,,,
9995,1.50,,9994,,135,W,,,,
9996,1.00,MACUNG,,,135,W,,,,
9997,1.90,ASTGRA,,,135,W,,,,
9998,43.70,GUAULM,,,135,W,0,,,
9999,14.80,LUECAN,,,135,W,0,,,
10000,5.10,,,Calyclamus,135,W,,,,
10001,3.70,,,Serjiania,135,W,,,,
10002,3.40,XYLSEE,,,135,W,,,,
10003,39.90,,,"Dark red stringy inner bark, Tall tree, GUAULM?, Measured at 2m",135,W,0,,,
10004,3.60,MACUNG,,,135,W,,,,
10005,6.90,XYLSEE,,,135,W,,,,
10006,2.10,XYLSEE,,,135,W,,,,
10007,6.70,,,Zombie liana,135,W,,,,
10008,3.60,XYLSEE,,,135,W,,,,
10009,3.30,XYLSEE,,,135,W,,,,
10010,2.00,MANHYM,,,135,W,,,,
10011,1.60,MANHYM,,,135,W,,,,
10012,2.10,XYLSEE,,,135,W,,,,
10013,1.40,MANHYM,,,135,W,,,,
10014,5.80,XYLSEE,,,135,W,,,,
10015,2.00,MANHYM,,,135,W,,,,
10016,3.50,XYLSEE,,,135,W,,,,
10017,2.60,MANHYM,,,135,W,,,,
10018,1.40,MANHYM,,,135,W,,,,
10019,3.50,CAPIND,,,135,W,,,,
10020,3.60,SLOTER,,,135,W,,,,
10021,1.50,,10020,,135,W,,,,
10022,1.20,CAPIND,,,135,W,,,,
10023,6.50,LONMIN,,,135,W,,,,
10024,1.40,MANHYM,,,135,W,,,,
10025,1.10,ALBEDU,,,135,W,,,,
10026,4.90,ARRPAT,,,135,W,,,,
10027,1.70,ASTGRA,,,135,W,,,,
10028,1.70,MANHYM,,,135,W,,,,
10029,2.40,MANHYM,,,135,W,,,,
