ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
9748,2.80,CALLAT,,,134,W,,6353,,
9749,2.80,LONMIN,,,134,W,,6365,,
9750,2.10,,9749,,134,W,,6363,,
9751,11.90,LUECAN,,Luehea,134,W,,6362,,
9752,1.30,MANHYM,,Liana,134,W,,6374,,
9753,1.80,MANHYM,,"Liana, Mansoa",134,W,,6371,,
9754,1.90,MANHYM,,,134,W,,,,
9755,2.70,MANHYM,,,134,W,,6366,,
9756,1.40,MANHYM,,,134,W,,,,
9757,1.20,MANHYM,,,134,W,,6370,,
9758,7.50,GUEMAC,,,134,W,,6382,,
9759,1.10,MANHYM,,,134,W,,6376,,
9760,1.40,MANHYM,,,134,W,,6388,,
9761,7.00,ASTGRA,,,134,W,,6394,,
9762,1.30,MANHYM,,,134,W,,6386,,
9763,4.80,MANHYM,,,134,W,,5810,,
9764,1.20,ASTGRA,,,134,W,,,,
9765,3.50,TRICUN,,"Trichilia martiana, accepted name",134,W,,5809,,
9766,5.40,ASTGRA,,,134,W,,5811,,
9767,2.70,ARRPAT,,,134,W,,,,
9768,3.10,ARRPAT,,,134,W,,,,
9769,4.80,CASSYL,,,134,W,,,,
9770,5.70,,9769,,134,W,,,,
9771,1.20,MANHYM,,,134,W,,,,
9772,1.50,PAUCUR,,,134,W,,,,
9773,13.00,,,"Trichilia, voucher",134,W,,,,
9774,1.50,MANHYM,,,134,W,,,,
9775,1.20,MANHYM,,,134,W,,,,
9776,1.70,MANHYM,,,134,W,,,,
9777,3.60,XYLSEE,,,134,W,,5790,,
9778,3.70,XYLSEE,,,134,W,,5791,,
9779,1.40,MANHYM,,,134,W,,5795,,
9780,1.50,XYLSEE,,Liana,134,W,,5787,,
9781,32.80,GUAULM,,"Luehea?, Measured at 2m",134,W,11,5789,,
9782,25.60,,9781,Measured at 2m,134,W,,5793,,
9783,1.60,MANHYM,,,134,W,,,,
9784,1.00,MANHYM,,,134,W,,,,
9785,2.90,LONMIN,,,134,W,,,,
9786,1.60,MANHYM,,,134,W,,,,
9787,3.60,TABOCH,,,134,W,,,,
9788,1.40,ASTGRA,,,134,W,,,,
9789,1.90,MANHYM,,,134,W,,,,
9790,3.80,PETVOL,,,134,W,,,,
9791,1.60,MANHYM,,,134,W,,,,
9792,11.60,CORPAN,,,134,W,0,,,
9793,2.90,LONMIN,,,134,W,,,,
9794,1.60,FORSPI,,,134,W,,,,
9795,1.50,MANHYM,,,134,W,,,,
9796,3.20,TABOCH,,,134,W,,,,
9797,1.40,ASTGRA,,,134,W,,,,
9798,2.00,PETVOL,,,134,W,,,,
9799,1.50,RANTHU,,,134,W,,6355,,
9800,3.20,XYLSEE,,,134,W,,,,
9801,2.10,XYLSEE,,,134,W,,,,
9802,1.10,MACUNG,,,134,W,,,,
9803,2.80,PETVOL,,,134,W,,,,
9804,2.00,MANHYM,,,134,W,,,,
9805,1.70,MANHYM,,,134,W,,6377,,
9806,2.10,MANHYM,,,134,W,,,,
9807,1.80,MANHYM,,,134,W,,,,
9808,3.10,ASTGRA,,,134,W,,,,
9809,1.80,MANHYM,,,134,W,,,,
9810,2.30,OCOVER,,,134,W,,,,
9811,1.40,MANHYM,,,134,W,,,,
9812,1.50,SEMMEX,,,134,W,,,,
9813,1.20,,9812,,134,W,,,,
9814,1.50,LONMIN,,,134,W,,,,
9815,1.40,LONMIN,,,134,W,,,,
9816,1.00,,9815,,134,W,,,,
9817,2.90,CASSYL,,,134,W,,,,
9818,2.70,,9817,,134,W,,,,
9819,3.60,SLOTER,,,134,N,,,,
9820,1.60,,9819,,134,N,,,,
9821,2.20,,9819,,134,N,,,,
9822,1.30,,,Flat liana,134,N,,,,
9823,1.10,CORPAN,,,134,N,,,,
9824,4.80,GENAME,,,134,N,,,,
9825,1.30,GENAME,,,134,N,,,,
9826,1.60,ASTGRA,,,134,N,,,,
9827,1.20,IXOFLO,,Rubiacae voucher,134,N,,,,
9828,0.90,,9827,,134,N,,,,
9829,1.20,RANMON,,,134,N,,,,
9830,9.10,BURSIM,,,134,N,,,,
9831,21.40,GUAULM,,,134,N,16,,,
9832,3.20,MANHYM,,,134,N,,,,
9833,3.50,MANHYM,,,134,N,,,,
9834,1.00,MACBIO,,,134,N,,,,
9835,1.00,,,Smooth gray liana,134,N,,,,
9836,1.00,,,Calyclamus,134,N,,,,
9837,1.00,,,Smooth gray liana,134,N,,,,
9838,6.00,,,"Voucher, compound odd serrated pubescent",134,N,,,,
9839,1.70,,9838,,134,N,,,,
9840,2.30,,9838,,134,N,,,,
9841,32.00,APETIB,,"Tall tree, voucher simple alternate brown hairs",134,N,,,,
9842,8.80,CASSYL,,,134,N,,,,
9843,8.20,CASSYL,,,134,N,,,,
9844,1.20,,9843,,134,N,,,,
9845,7.50,,9843,,134,N,,,,
9846,5.00,,9843,,134,N,,,,
9847,1.60,,9843,,134,N,,,,
9848,2.20,MANHYM,,,134,N,,5797,,
9849,3.40,MANHYM,,,134,N,,,,
9850,10.20,ASTGRA,,,134,N,,6301,,
9851,1.30,MANHYM,,,134,N,,,,
9852,1.50,MANHYM,,,134,N,,5800,,
9853,1.10,CAPIND,,,134,N,,,,
9854,12.60,ASTGRA,,,134,N,,,,
9855,1.80,MANHYM,,,134,N,,,,
9856,1.70,MANHYM,,,134,N,,,,
9857,1.20,MANHYM,,,134,N,,,,
9858,11.50,LUECAN,,,134,N,,,,
9859,2.30,,,Trichilia voucher ,134,E,,,,
9860,1.70,,9859,,134,E,,,,
9861,1.70,,9859,,134,E,,,,
9862,2.50,SLOTER,,,134,E,,,,
9863,1.20,,9862,,134,E,,,,
9864,1.10,,9862,,134,E,,,,
9865,7.80,ASTGRA,,,134,E,,,,
9866,2.20,MANHYM,,,134,E,,,,
9867,13.80,LUESPE,,,134,E,,,,
9868,2.50,MANHYM,,,134,E,,,,
9869,2.90,MANHYM,,,134,E,,,,
9870,2.90,MANHYM,,,134,E,,,,
9871,1.40,MANHYM,,,134,E,,,,
9872,8.00,CALCAN,,,134,E,,,,
9873,3.50,ASTGRA,,,134,E,,,,
9874,43.30,SPOMOM,,Plot 35,134,E,11,,,
9875,7.50,XYLSEE,,,134,E,,,,
9876,2.60,,,Hairy liana,134,E,,,,
9877,1.70,MACUNG,,,134,E,,,,
9878,1.10,MACUNG,,,134,E,,,,
9879,4.00,ARRPAT,,,134,E,,,,
9880,3.20,ARRPAT,,,134,E,,,,
9881,7.40,ASTGRA,,,134,E,,,,
9882,3.00,CASSYL,,,134,E,,,,
9883,3.40,ARRPAT,,,134,E,,,,
9884,3.30,XYLSEE,,,134,E,,,,
9885,6.70,ARRPAT,,,134,E,,,,
9886,2.40,XYLSEE,,,134,E,,,,
9887,3.10,ARRPAT,,,134,E,,,,
9888,3.70,,,Cydista,134,E,,,,
9889,2.70,TABOCH,,,134,E,,,,
9890,1.10,,9889,Sullivan H23,134,E,,,,
9891,1.60,SEMMEX,,,134,E,,,,
9892,1.50,,9891,,134,E,,,,
9893,1.00,,9891,,134,E,,,,
9894,3.10,LONMIN,,,134,E,,,,
9895,3.50,XYLSEE,,,134,E,,,,
9896,4.10,LONMIN,,,134,E,,,,
9897,6.10,MACBIO,,,134,E,,,,
9898,1.90,ARRPAT,,,134,E,,,,
9899,1.00,MANHYM,,,134,E,,,,
9900,10.50,MYRFRU,,,134,E,,,,
9901,2.50,XYLSEE,,,134,E,,,,
9902,1.40,MANHYM,,,134,E,,,,
9903,2.80,ASTGRA,,,134,S,,,,
9904,1.70,PETVOL,,,134,S,,,,
9905,7.20,BUNBIO,,,134,S,,,,
9906,1.30,LONMIN,,,134,S,,,,
9907,8.70,CHOSPI,,,134,S,,,,
9908,4.30,LONACU,,,134,S,,,,
9909,1.70,LONMIN,,,134,S,,,,
9910,3.10,MACUNG,,,134,S,,,,
9911,2.60,,,Hairy liana,134,S,,,,
9912,3.40,,,Hairy liana,134,S,,,,
9913,2.30,MACUNG,,,134,S,,,,
9914,1.00,MACUNG,,,134,S,,,,
9915,1.50,MACUNG,,,134,S,,,,
9916,35.70,LUECAN,,Measured at 1.8m,134,S,,,,
9917,3.40,MACUNG,,,134,S,,,,
9918,6.40,LONMIN,,,134,S,,,,
9919,2.70,CAPIND,,,134,S,,,,
9920,4.20,SAPPAL,,,134,S,,,,
9921,4.50,SAPPAL,,,134,S,,,,
9922,1.20,MANHYM,,,134,S,,,,
9923,3.20,LONMIN,,,134,S,,5760,,
9924,2.50,LONMIN,,,134,S,,5759,,
9925,3.00,LONMIN,,,134,S,,5758,,
9926,3.40,LONMIN,,,134,S,,5757,,
9927,1.20,MACUNG,,,134,S,,,,
9928,3.20,LONMIN,,,134,S,,5762,,
9929,4.10,LONMIN,,,134,S,,,,
9930,3.00,LONACU,,,134,S,,,,
9931,2.20,,9930,,134,S,,,,
9932,7.80,LUECAN,,,134,S,,,,
9933,24.50,LUECAN,,,134,S,0,,,
9934,3.90,FORSPI,,,134,S,,,,
9935,2.20,FORSPI,,,134,S,,,,
9936,11.70,LUESPE,,,134,S,,,,
9937,8.60,,9936,,134,S,,,,
9938,1.80,PETVOL,,,134,S,,,,
9939,1.40,LONMIN,,,134,S,,,,
9940,2.00,FORSPI,,,134,S,,,,
9941,6.00,SLOTER,,,134,S,,5764,,
9942,1.50,TABOCH,,,134,S,,5765,,
9943,1.30,MANHYM,,,134,S,,5768,,
9944,1.40,XYLSEE,,,134,S,,5780,,
9945,1.60,MANHYM,,,134,S,,,,
9946,5.10,EXOMEX,,,134,S,,,,
9947,4.50,TABOCH,,,134,S,,,,
