ID,DBH,SPP,MAIN,NOTES,PLOT,TRI,NAIL,MS,DEG,DIST
10199,2.60,MANCHI,,,136,W,,,,
10200,3.50,XYLSEE,,,136,W,,,,
10201,4.20,MANHYM,,,136,W,,,,
10202,9.80,MANCHI,,,136,W,,,,
10203,3.10,PETVOL,,,136,W,,,,
10204,2.30,,10205,,136,W,,,,
10205,2.60,OCOVER,,,136,W,,,,
10206,2.90,OCOVER,,,136,W,,,,
10207,3.00,PAUCUR,,,136,W,,,,
10208,2.60,PAUCUR,,,136,W,,,,
10209,1.20,CASSYL,,,136,W,,,,
10210,1.20,,10209,,136,W,,,,
10211,3.40,MANHYM,,,136,W,,,,
10212,9.30,ASTGRA,,,136,W,,,,
10213,1.60,TRIHIR,,,136,W,,,,
10214,12.10,LUECAN,,,136,W,,,,
10215,1.30,MANHYM,,,136,W,,,,
10216,29.40,BURSIM,,,136,W,,,,
10217,1.40,ARRPAT,,,136,W,,,,
10218,5.50,OCOVER,,,136,W,,,,
10219,1.20,,10219,,136,W,,,,
10220,1.10,,10220,,136,W,,,,
10221,2.10,PAUCUR,,,136,W,,,,
10222,1.30,MANHYM,,,136,W,,,,
10223,1.20,MANHYM,,,136,W,,,,
10224,1.20,MANHYM,,,136,W,,,,
10225,2.20,SEMMEX,,,136,W,,,,
10226,1.70,SEMMEX,,,136,W,,,,
10227,1.30,TETVOL,,,136,W,,,,
10228,6.60,XYLSEE,,,136,W,,,,
10229,26.80,TRICUN,,,136,W,,,,
10230,1.70,OCOVER,,,136,W,,,,
10231,1.40,MANHYM,,,136,W,,,,
10232,8.00,OCOVER,,,136,W,,,,
10233,1.40,MACUNG,,,136,W,,,,
10234,2.30,MANHYM,,,136,N,,,,
10235,7.60,OCOVER,,,136,N,,,,
10236,2.80,,10235,,136,N,,,,
10237,1.10,OCOVER,,,136,N,,,,
10238,15.20,CAPIND,,,136,N,,,,
10239,3.50,MANHYM,,,136,N,,,,
10240,1.90,MANHYM,,,136,N,,,,
10241,2.90,MANHYM,,,136,N,,,,
10242,1.90,MANHYM,,,136,N,,,,
10243,2.30,XYLSEE,,,136,N,,,,
10244,18.00,TRICUN,,,136,N,,,,
10245,1.10,OCOVER,,,136,N,,,,
10246,1.90,MANHYM,,,136,N,,,,
10247,1.10,OCOVER,,,136,N,,,,
10248,2.30,OCOVER,,,136,N,,,,
10249,1.90,ROUGLA,,,136,N,,,,
10250,3.40,,,"Voucher, simple alternate, Cordia like",136,N,,,,
10251,4.80,CASSYL,,,136,N,,,,
10252,1.20,,,Smooth gray liana,136,N,,,,
10253,11.20,CAPIND,,,136,N,,,,
10254,1.30,MANHYM,,,136,N,,,,
10255,1.30,MANHYM,,,136,N,,,,
10256,10.20,CASSYL,,,136,N,,,,
10257,5.60,,10256,,136,N,,,,
10258,2.70,CUPGUA,,"Voucher, compound, serrated ",136,N,,,,
10259,11.60,CUPGUA,,Same as 10258,136,N,,,,
10260,3.40,,10259,,136,N,,,,
10261,8.60,,10259,,136,N,,,,
10262,5.50,,10259,,136,N,,,,
10263,4.50,,10259,,136,N,,,,
10264,4.40,PSISAR,,"Voucher, simple, opposite ",136,N,,,,
10265,2.90,,10264,,136,N,,,,
10266,2.10,ROUGLA,,,136,N,,,,
10267,1.80,MANHYM,,,136,N,,,,
10268,5.40,LONMIN,,,136,N,,,,
10269,1.70,ROUGLA,,,136,N,,,,
10270,4.40,,,Same as 10258,136,N,,,,
10271,2.60,MANHYM,,,136,N,,,,
10272,2.00,CALLAT,,,136,N,,,,
10273,1.70,MANHYM,,,136,N,,,,
10274,1.30,MANHYM,,,136,N,,,,
10275,6.60,MANCHI,,,136,N,,,,
10276,17.30,,,"Tall tree, rigged wood, sweet smell, oxidizes fast",136,N,0,,,
10277,4.30,OCOVER,,,136,N,,,,
10278,1.20,,10278,,136,N,,,,
10279,4.30,OCOVER,,,136,N,,,,
10280,2.10,GUAGLA,,"Voucher, swetenia",136,N,,,,
10281,1.70,,10280,,136,N,,,,
10282,1.10,,10280,,136,N,,,,
10283,1.10,,10280,,136,N,,,,
10284,1.40,MANHYM,,,136,N,,,,
10285,2.40,MANHYM,,,136,N,,,,
10286,5.10,CASSYL,,,136,E,,,,
10287,3.50,,10286,,136,E,,,,
10288,1.60,XYLSEE,,,136,E,,,,
10289,2.80,SLOTER,,,136,E,,,,
10290,2.10,,10289,,136,E,,,,
10291,3.80,BROALI,,,136,N,,,,
10292,1.00,,10289,,136,E,,,,
10293,21.00,TRICUN,,,136,E,0,,,
10294,2.80,,,"Bristly Liana, simple, alternate, Rough hairs, spiral stem",136,E,,,,
10295,2.70,CAPIND,,,136,E,,,,
10296,2.70,,10295,,136,E,,,,
10297,1.70,MANHYM,,,136,E,,,,
10298,1.50,TRORAC,,"Voucher, simple, alternate, serrated, latex",136,E,,,,
10299,1.30,,,Smooth gray liana,136,E,,,,
10300,2.40,CASSYL,,,136,E,,,,
10301,1.40,,10300,,136,E,,,,
10302,1.60,,,Same as 10294,136,E,,,,
10303,5.80,CASSYL,,,136,E,,,,
10304,3.50,,10303,,136,E,,,,
10305,2.90,,10303,,136,E,,,,
10306,1.80,,10303,,136,E,,,,
10307,1.50,MANHYM,,,136,E,,,,
10308,1.20,MANHYM,,,136,E,,,,
10309,2.30,XYLSEE,,,136,E,,,,
10310,5.00,MACBIO,,,136,E,,,,
10311,1.10,ALLOCC,,,136,E,,,,
10312,1.70,MANHYM,,,136,E,,,,
10313,1.50,MANHYM,,,136,E,,,,
10314,3.90,TABOCH,,,136,E,,,,
